address,held_from,sold_at,holding_period,Gain/Loss,Planning Area,property_tenure,transaction_price_dollars,project_name,area_sqft,sale_type,Year,Gain/Loss (SGD),held_year,held_month,sold_year,sold_month,months_held,Original Price (SGD)
60 WOODLANDS DRIVE 16 #04-21,2008-03-31,2013-12-23,5.5,294644,Woodlands,99 yrs from 13/09/2004,880000,LA CASA,1141,Resale,2013,"294,644",2008,3,2013,12,69,"585,356"
60 WOODLANDS DRIVE 16 #04-22,2007-12-10,2015-12-28,8.0,213260,Woodlands,99 yrs from 13/09/2004,810000,LA CASA,1141,Resale,2015,"213,260",2007,12,2015,12,96,"596,740"
60 WOODLANDS DRIVE 16 #04-22,2015-12-28,2020-01-10,4.0,18000,Woodlands,99 yrs from 13/09/2004,828000,LA CASA,1141,Resale,2020,"18,000",2015,12,2020,1,49,"810,000"
60 WOODLANDS DRIVE 16 #04-23,2007-09-13,2013-05-22,5.5,260420,Woodlands,99 yrs from 13/09/2004,858000,LA CASA,1130,Resale,2013,"260,420",2007,9,2013,5,68,"597,580"
60 WOODLANDS DRIVE 16 #04-24,2007-07-06,2015-10-07,8.5,318210,Woodlands,99 yrs from 13/09/2004,900000,LA CASA,1184,Resale,2015,"318,210",2007,7,2015,10,99,"581,790"
60 WOODLANDS DRIVE 16 #04-24,2015-10-07,2021-05-07,5.5,-100000,Woodlands,99 yrs from 13/09/2004,800000,LA CASA,1184,Resale,2021,"-100,000",2015,10,2021,5,67,"900,000"
60 WOODLANDS DRIVE 16 #05-21,2007-09-07,2021-02-16,13.5,226000,Woodlands,99 yrs from 13/09/2004,825000,LA CASA,1141,Resale,2021,"226,000",2007,9,2021,2,161,"599,000"
60 WOODLANDS DRIVE 16 #05-22,2007-11-27,2018-03-21,10.5,209840,Woodlands,99 yrs from 13/09/2004,810000,LA CASA,1141,Resale,2018,"209,840",2007,11,2018,3,124,"600,160"
60 WOODLANDS DRIVE 16 #05-23,2007-06-13,2024-08-20,17.0,600270,Woodlands,99 yrs from 13/09/2004,1148000,LA CASA,1130,Resale,2024,"600,270",2007,6,2024,8,206,"547,730"
60 WOODLANDS DRIVE 16 #06-22,2007-11-05,2013-11-08,6.0,301560,Woodlands,99 yrs from 13/09/2004,900000,LA CASA,1141,Resale,2013,"301,560",2007,11,2013,11,72,"598,440"
60 WOODLANDS DRIVE 16 #06-23,2006-07-25,2022-07-13,16.0,462450,Woodlands,99 yrs from 13/09/2004,962000,LA CASA,1130,Resale,2022,"462,450",2006,7,2022,7,192,"499,550"
60 WOODLANDS DRIVE 16 #06-24,2006-09-29,2018-09-03,12.0,331310,Woodlands,99 yrs from 13/09/2004,873000,LA CASA,1184,Resale,2018,"331,310",2006,9,2018,9,144,"541,690"
